,Winner,NTurns
0,C,54
1,C,48
2,C,54
3,C,54
4,C,54
5,C,54
6,C,54
7,C,54
8,C,60
9,C,48
10,C,54
11,C,54
12,C,54
13,B,51
14,C,54
15,C,54
16,C,54
17,C,48
18,C,54
19,C,54
20,B,51
21,C,54
22,C,54
23,C,54
24,C,54
25,C,54
26,C,54
27,C,54
28,C,54
29,C,54
30,C,54
31,C,54
32,C,54
33,C,54
34,C,54
35,C,48
36,C,54
37,C,54
38,C,54
39,C,54
40,C,54
41,C,54
42,C,54
43,C,48
44,C,54
45,C,54
46,C,54
47,C,54
48,C,48
49,C,54
50,C,54
51,C,54
52,C,48
53,C,48
54,C,54
55,C,54
56,C,48
57,C,54
58,C,48
59,C,60
60,C,54
61,C,54
62,C,48
63,C,54
64,C,60
65,C,54
66,C,54
67,C,54
68,C,54
69,C,48
70,C,54
71,C,54
72,C,54
73,C,48
74,C,66
75,C,54
76,C,54
77,C,54
78,C,54
79,C,54
